collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-07-27T09:02:46Z,2026-07-27T11:02:46+0200,ea656a91-0462-46f6-b91a-1155f24470f4,2026-06-26T16:30:00Z,2026-06-26T18:30:00+0200,797.35,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-27T09:07:38Z
2026-07-27T09:02:46Z,2026-07-27T11:02:46+0200,ea656a91-0462-46f6-b91a-1155f24470f4,2026-06-26T16:30:00Z,2026-06-26T18:30:00+0200,0.0,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-07-27T09:07:38Z
2026-07-27T09:02:46Z,2026-07-27T11:02:46+0200,ea656a91-0462-46f6-b91a-1155f24470f4,2026-06-26T16:45:00Z,2026-06-26T18:45:00+0200,918.041,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-27T09:07:38Z
2026-07-27T09:02:46Z,2026-07-27T11:02:46+0200,ea656a91-0462-46f6-b91a-1155f24470f4,2026-06-26T16:45:00Z,2026-06-26T18:45:00+0200,0.0,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-07-27T09:07:38Z
2026-07-27T09:02:46Z,2026-07-27T11:02:46+0200,ea656a91-0462-46f6-b91a-1155f24470f4,2026-06-26T17:00:00Z,2026-06-26T19:00:00+0200,1017.625,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-27T09:07:38Z
2026-07-27T09:02:46Z,2026-07-27T11:02:46+0200,ea656a91-0462-46f6-b91a-1155f24470f4,2026-06-26T17:00:00Z,2026-06-26T19:00:00+0200,0.012,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-07-27T09:07:38Z
2026-07-27T09:02:46Z,2026-07-27T11:02:46+0200,ea656a91-0462-46f6-b91a-1155f24470f4,2026-06-26T17:15:00Z,2026-06-26T19:15:00+0200,1169.496,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-27T09:07:38Z
2026-07-27T09:02:46Z,2026-07-27T11:02:46+0200,ea656a91-0462-46f6-b91a-1155f24470f4,2026-06-26T17:15:00Z,2026-06-26T19:15:00+0200,0.0,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-07-27T09:07:38Z
2026-07-27T09:02:46Z,2026-07-27T11:02:46+0200,ea656a91-0462-46f6-b91a-1155f24470f4,2026-06-26T17:30:00Z,2026-06-26T19:30:00+0200,1101.336,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-27T09:07:38Z
2026-07-27T09:02:46Z,2026-07-27T11:02:46+0200,ea656a91-0462-46f6-b91a-1155f24470f4,2026-06-26T17:30:00Z,2026-06-26T19:30:00+0200,0.02,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-07-27T09:07:38Z
2026-07-27T09:02:46Z,2026-07-27T11:02:46+0200,ea656a91-0462-46f6-b91a-1155f24470f4,2026-06-26T17:45:00Z,2026-06-26T19:45:00+0200,1099.573,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-27T09:07:38Z
2026-07-27T09:02:46Z,2026-07-27T11:02:46+0200,ea656a91-0462-46f6-b91a-1155f24470f4,2026-06-26T17:45:00Z,2026-06-26T19:45:00+0200,0.0,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-07-27T09:07:38Z
