collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-11T17:00:00Z,2026-09-11T19:00:00+0200,18.9375,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-17T05:17:45Z
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-11T18:00:00Z,2026-09-11T20:00:00+0200,13.4175,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-17T05:17:45Z
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-11T19:00:00Z,2026-09-11T21:00:00+0200,25.065,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-17T05:17:45Z
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-11T20:00:00Z,2026-09-11T22:00:00+0200,28.2975,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-17T05:17:45Z
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-11T21:00:00Z,2026-09-11T23:00:00+0200,30.78,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-17T05:17:45Z
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-11T22:00:00Z,2026-09-12T00:00:00+0200,30.2475,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-17T05:17:45Z
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-11T23:00:00Z,2026-09-12T01:00:00+0200,28.4225,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-17T05:17:45Z
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-12T00:00:00Z,2026-09-12T02:00:00+0200,17.7375,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-17T05:17:45Z
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-12T01:00:00Z,2026-09-12T03:00:00+0200,35.505,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-17T05:17:45Z
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-12T02:00:00Z,2026-09-12T04:00:00+0200,96.545,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-17T05:17:45Z
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-12T03:00:00Z,2026-09-12T05:00:00+0200,122.695,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-17T05:17:45Z
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-12T04:00:00Z,2026-09-12T06:00:00+0200,106.49,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-17T05:17:45Z
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-12T05:00:00Z,2026-09-12T07:00:00+0200,173.4575,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-17T05:17:45Z
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-12T06:00:00Z,2026-09-12T08:00:00+0200,236.765,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-17T05:17:45Z
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-12T07:00:00Z,2026-09-12T09:00:00+0200,421.7575,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-17T05:17:45Z
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-12T08:00:00Z,2026-09-12T10:00:00+0200,834.0325,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-17T05:17:45Z
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-12T09:00:00Z,2026-09-12T11:00:00+0200,892.785,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-17T05:17:45Z
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-12T10:00:00Z,2026-09-12T12:00:00+0200,1020.1875,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-17T05:17:45Z
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-12T11:00:00Z,2026-09-12T13:00:00+0200,1190.365,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-17T05:17:45Z
