collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-19T05:00:00Z,2026-09-19T07:00:00+0200,2159.4925,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-19T06:00:00Z,2026-09-19T08:00:00+0200,2163.6675,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-19T07:00:00Z,2026-09-19T09:00:00+0200,2153.03,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-19T08:00:00Z,2026-09-19T10:00:00+0200,2153.7475,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-19T09:00:00Z,2026-09-19T11:00:00+0200,2156.83,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-19T10:00:00Z,2026-09-19T12:00:00+0200,2162.36,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-19T11:00:00Z,2026-09-19T13:00:00+0200,2170.13,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-19T12:00:00Z,2026-09-19T14:00:00+0200,2161.3775,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-19T13:00:00Z,2026-09-19T15:00:00+0200,2165.6175,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-19T14:00:00Z,2026-09-19T16:00:00+0200,2084.9175,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-19T15:00:00Z,2026-09-19T17:00:00+0200,2166.94,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-19T16:00:00Z,2026-09-19T18:00:00+0200,2174.24,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-19T17:00:00Z,2026-09-19T19:00:00+0200,2169.59,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-19T18:00:00Z,2026-09-19T20:00:00+0200,2170.6625,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-19T19:00:00Z,2026-09-19T21:00:00+0200,2169.9825,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-19T20:00:00Z,2026-09-19T22:00:00+0200,2172.36,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-19T21:00:00Z,2026-09-19T23:00:00+0200,2162.345,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-19T22:00:00Z,2026-09-20T00:00:00+0200,2156.67,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-19T23:00:00Z,2026-09-20T01:00:00+0200,2138.7325,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-20T00:00:00Z,2026-09-20T02:00:00+0200,2040.1525,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-20T01:00:00Z,2026-09-20T03:00:00+0200,1923.8375,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-20T02:00:00Z,2026-09-20T04:00:00+0200,1716.6725,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-20T03:00:00Z,2026-09-20T05:00:00+0200,1020.22,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-20T04:00:00Z,2026-09-20T06:00:00+0200,1003.395,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-20T05:00:00Z,2026-09-20T07:00:00+0200,1179.905,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-20T06:00:00Z,2026-09-20T08:00:00+0200,1389.47,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-20T07:00:00Z,2026-09-20T09:00:00+0200,1367.49,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-20T08:00:00Z,2026-09-20T10:00:00+0200,1213.195,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-20T09:00:00Z,2026-09-20T11:00:00+0200,1307.5875,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-20T10:00:00Z,2026-09-20T12:00:00+0200,1330.87,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-20T11:00:00Z,2026-09-20T13:00:00+0200,1179.29,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-20T12:00:00Z,2026-09-20T14:00:00+0200,968.2675,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-20T13:00:00Z,2026-09-20T15:00:00+0200,491.0375,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-20T14:00:00Z,2026-09-20T16:00:00+0200,272.365,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-20T15:00:00Z,2026-09-20T17:00:00+0200,156.69,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-20T16:00:00Z,2026-09-20T18:00:00+0200,90.42,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-20T17:00:00Z,2026-09-20T19:00:00+0200,37.305,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-20T18:00:00Z,2026-09-20T20:00:00+0200,16.9725,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-20T19:00:00Z,2026-09-20T21:00:00+0200,11.1075,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-20T20:00:00Z,2026-09-20T22:00:00+0200,19.5725,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-20T21:00:00Z,2026-09-20T23:00:00+0200,137.8625,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-20T22:00:00Z,2026-09-21T00:00:00+0200,204.4175,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-20T23:00:00Z,2026-09-21T01:00:00+0200,203.7025,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-21T00:00:00Z,2026-09-21T02:00:00+0200,168.6275,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-21T01:00:00Z,2026-09-21T03:00:00+0200,111.415,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-21T02:00:00Z,2026-09-21T04:00:00+0200,177.5025,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-21T03:00:00Z,2026-09-21T05:00:00+0200,174.14725,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-21T04:00:00Z,2026-09-21T06:00:00+0200,190.021,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-21T05:00:00Z,2026-09-21T07:00:00+0200,159.47425,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-21T06:00:00Z,2026-09-21T08:00:00+0200,131.22325,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-21T07:00:00Z,2026-09-21T09:00:00+0200,89.2045,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-21T08:00:00Z,2026-09-21T10:00:00+0200,187.38,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-21T09:00:00Z,2026-09-21T11:00:00+0200,245.985,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-21T10:00:00Z,2026-09-21T12:00:00+0200,193.1675,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-21T11:00:00Z,2026-09-21T13:00:00+0200,181.01,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-21T12:00:00Z,2026-09-21T14:00:00+0200,73.8525,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-21T13:00:00Z,2026-09-21T15:00:00+0200,24.04,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-21T14:00:00Z,2026-09-21T16:00:00+0200,33.6825,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-21T15:00:00Z,2026-09-21T17:00:00+0200,33.2,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-21T16:00:00Z,2026-09-21T18:00:00+0200,32.6125,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-21T17:00:00Z,2026-09-21T19:00:00+0200,28.9775,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-21T18:00:00Z,2026-09-21T20:00:00+0200,27.805,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-21T19:00:00Z,2026-09-21T21:00:00+0200,27.865,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-21T20:00:00Z,2026-09-21T22:00:00+0200,29.1225,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-21T21:00:00Z,2026-09-21T23:00:00+0200,28.5325,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-21T22:00:00Z,2026-09-22T00:00:00+0200,28.48,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-21T23:00:00Z,2026-09-22T01:00:00+0200,29.95,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-22T00:00:00Z,2026-09-22T02:00:00+0200,30.3675,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-22T01:00:00Z,2026-09-22T03:00:00+0200,29.945,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-22T02:00:00Z,2026-09-22T04:00:00+0200,29.68,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-22T03:00:00Z,2026-09-22T05:00:00+0200,23.2425,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-22T04:00:00Z,2026-09-22T06:00:00+0200,16.3875,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-22T05:00:00Z,2026-09-22T07:00:00+0200,4.48,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-22T05:00:00Z,2026-09-22T07:00:00+0200,3.495,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-22T06:00:00Z,2026-09-22T08:00:00+0200,22.36,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-22T07:00:00Z,2026-09-22T09:00:00+0200,0.7875,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-22T07:00:00Z,2026-09-22T09:00:00+0200,3.395,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-22T08:00:00Z,2026-09-22T10:00:00+0200,16.3825,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-22T09:00:00Z,2026-09-22T11:00:00+0200,17.8725,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-22T10:00:00Z,2026-09-22T12:00:00+0200,0.6325,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-22T10:00:00Z,2026-09-22T12:00:00+0200,8.0325,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-22T11:00:00Z,2026-09-22T13:00:00+0200,19.6075,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-22T12:00:00Z,2026-09-22T14:00:00+0200,24.265,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T17:04:49Z
