collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-20T20:36:27Z,2026-09-20T22:36:27+0200,da12ecb5-2002-408e-9166-9fec8aba33f6,2026-09-13T21:00:00Z,2026-09-13T23:00:00+0200,27.92,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-20T20:38:37Z
2026-09-20T20:36:27Z,2026-09-20T22:36:27+0200,da12ecb5-2002-408e-9166-9fec8aba33f6,2026-09-13T22:00:00Z,2026-09-14T00:00:00+0200,22.965,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-20T20:38:37Z
2026-09-20T20:36:27Z,2026-09-20T22:36:27+0200,da12ecb5-2002-408e-9166-9fec8aba33f6,2026-09-13T23:00:00Z,2026-09-14T01:00:00+0200,26.4025,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-20T20:38:37Z
2026-09-20T20:36:27Z,2026-09-20T22:36:27+0200,da12ecb5-2002-408e-9166-9fec8aba33f6,2026-09-14T00:00:00Z,2026-09-14T02:00:00+0200,28.995,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-20T20:38:37Z
2026-09-20T20:36:27Z,2026-09-20T22:36:27+0200,da12ecb5-2002-408e-9166-9fec8aba33f6,2026-09-14T01:00:00Z,2026-09-14T03:00:00+0200,19.125,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-20T20:38:37Z
2026-09-20T20:36:27Z,2026-09-20T22:36:27+0200,da12ecb5-2002-408e-9166-9fec8aba33f6,2026-09-14T02:00:00Z,2026-09-14T04:00:00+0200,0.2975,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-20T20:38:37Z
2026-09-20T20:36:27Z,2026-09-20T22:36:27+0200,da12ecb5-2002-408e-9166-9fec8aba33f6,2026-09-14T02:00:00Z,2026-09-14T04:00:00+0200,10.69,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-20T20:38:37Z
2026-09-20T20:36:27Z,2026-09-20T22:36:27+0200,da12ecb5-2002-408e-9166-9fec8aba33f6,2026-09-14T03:00:00Z,2026-09-14T05:00:00+0200,14.0325,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-20T20:38:37Z
2026-09-20T20:36:27Z,2026-09-20T22:36:27+0200,da12ecb5-2002-408e-9166-9fec8aba33f6,2026-09-14T04:00:00Z,2026-09-14T06:00:00+0200,71.4625,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-20T20:38:37Z
2026-09-20T20:36:27Z,2026-09-20T22:36:27+0200,da12ecb5-2002-408e-9166-9fec8aba33f6,2026-09-14T05:00:00Z,2026-09-14T07:00:00+0200,233.76,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-20T20:38:37Z
2026-09-20T20:36:27Z,2026-09-20T22:36:27+0200,da12ecb5-2002-408e-9166-9fec8aba33f6,2026-09-14T06:00:00Z,2026-09-14T08:00:00+0200,258.7275,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-20T20:38:37Z
2026-09-20T20:36:27Z,2026-09-20T22:36:27+0200,da12ecb5-2002-408e-9166-9fec8aba33f6,2026-09-14T07:00:00Z,2026-09-14T09:00:00+0200,346.8825,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-20T20:38:37Z
2026-09-20T20:36:27Z,2026-09-20T22:36:27+0200,da12ecb5-2002-408e-9166-9fec8aba33f6,2026-09-14T08:00:00Z,2026-09-14T10:00:00+0200,267.4075,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-20T20:38:37Z
2026-09-20T20:36:27Z,2026-09-20T22:36:27+0200,da12ecb5-2002-408e-9166-9fec8aba33f6,2026-09-14T09:00:00Z,2026-09-14T11:00:00+0200,222.2775,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-20T20:38:37Z
2026-09-20T20:36:27Z,2026-09-20T22:36:27+0200,da12ecb5-2002-408e-9166-9fec8aba33f6,2026-09-14T10:00:00Z,2026-09-14T12:00:00+0200,240.76,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-20T20:38:37Z
2026-09-20T20:36:27Z,2026-09-20T22:36:27+0200,da12ecb5-2002-408e-9166-9fec8aba33f6,2026-09-14T11:00:00Z,2026-09-14T13:00:00+0200,395.66,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-20T20:38:37Z
2026-09-20T20:36:27Z,2026-09-20T22:36:27+0200,da12ecb5-2002-408e-9166-9fec8aba33f6,2026-09-14T12:00:00Z,2026-09-14T14:00:00+0200,566.1475,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-20T20:38:37Z
2026-09-20T20:36:27Z,2026-09-20T22:36:27+0200,da12ecb5-2002-408e-9166-9fec8aba33f6,2026-09-14T13:00:00Z,2026-09-14T15:00:00+0200,773.1425,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-20T20:38:37Z
2026-09-20T20:36:27Z,2026-09-20T22:36:27+0200,da12ecb5-2002-408e-9166-9fec8aba33f6,2026-09-14T14:00:00Z,2026-09-14T16:00:00+0200,983.66,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-20T20:38:37Z
2026-09-20T20:36:27Z,2026-09-20T22:36:27+0200,da12ecb5-2002-408e-9166-9fec8aba33f6,2026-09-14T15:00:00Z,2026-09-14T17:00:00+0200,966.3525,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-20T20:38:37Z
